TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1553501379345	117.996529	-36.422607	-29.389736	0.970486	-0.000000	0.000000	-0.241158	img_0_0_1553501379885258700.png;img_1_1_1553501379893612400.png
1553501379681	118.976074	-36.397392	-29.395994	0.970486	-0.000000	0.000000	-0.241158	img_0_0_1553501380223187600.png;img_1_1_1553501380231090300.png
1553501380029	119.985451	-36.370480	-29.398127	0.970486	-0.000000	-0.000000	-0.241158	img_0_0_1553501380570478200.png;img_1_1_1553501380578369400.png
1553501380413	121.093216	-36.339905	-29.395351	0.970485	-0.001242	0.000309	-0.241158	img_0_0_1553501380952890000.png;img_1_1_1553501380962670600.png
1553501380773	122.125351	-36.311848	-29.387857	0.970486	-0.000434	0.000108	-0.241158	img_0_0_1553501381315217400.png;img_1_1_1553501381322075000.png
1553501381139	123.168663	-36.283333	-29.375383	0.970486	-0.000041	0.000010	-0.241158	img_0_0_1553501381679813200.png;img_1_1_1553501381687588200.png
1553501381523	124.257271	-36.252674	-29.357035	0.970486	-0.000003	0.000001	-0.241158	img_0_0_1553501382064908200.png;img_1_1_1553501382072707500.png
1553501381880	125.263878	-36.223312	-29.335453	0.970441	0.000053	0.000214	-0.241338	img_0_0_1553501382421907700.png;img_1_1_1553501382428957400.png
1553501382246	126.290146	-36.192219	-29.309042	0.970392	0.000005	0.000019	-0.241534	img_0_0_1553501382788102800.png;img_1_1_1553501382795912500.png
1553501382606	127.294304	-36.160831	-29.278183	0.970381	0.000000	0.000002	-0.241581	img_0_0_1553501383147051900.png;img_1_1_1553501383157831600.png
1553501382969	128.301682	-36.128372	-29.241837	0.970378	-0.000000	0.000000	-0.241593	img_0_0_1553501383509240100.png;img_1_1_1553501383518538700.png
1553501383359	129.378433	-36.092785	-29.197632	0.970372	-0.000797	-0.003200	-0.241594	img_0_0_1553501383902783600.png;img_1_1_1553501383910878500.png
1553501383728	130.398849	-36.062073	-29.150831	0.970344	-0.001993	-0.008005	-0.241588	img_0_0_1553501384271787600.png;img_1_1_1553501384279168300.png
1553501384073	131.364426	-36.041279	-29.102518	0.970348	-0.001872	-0.007519	-0.241589	img_0_0_1553501384616305300.png;img_1_1_1553501384622773000.png
1553501384424	132.358871	-36.028339	-29.048979	0.970346	-0.001942	-0.007800	-0.241588	img_0_0_1553501384970109800.png;img_1_1_1553501384976365800.png
1553501384796	133.425903	-36.023540	-28.987486	0.970335	-0.002242	-0.009006	-0.241586	img_0_0_1553501385336815300.png;img_1_1_1553501385347660600.png
1553501385168	134.512787	-36.031296	-28.920956	0.970201	-0.004604	-0.018491	-0.241552	img_0_0_1553501385710690300.png;img_1_1_1553501385719171500.png
1553501385534	135.617142	-36.059418	-28.852528	0.970251	-0.003899	-0.015660	-0.241564	img_0_0_1553501386077408300.png;img_1_1_1553501386084656300.png
1553501385882	136.696701	-36.103615	-28.817863	0.970303	-0.002993	-0.012023	-0.241577	img_0_0_1553501386427391200.png;img_1_1_1553501386434937500.png
1553501386281	137.960464	-36.170197	-28.827349	0.970310	-0.002840	-0.011407	-0.241579	img_0_0_1553501386823872500.png;img_1_1_1553501386832961100.png
1553501386677	139.238754	-36.251255	-28.860788	0.970328	-0.002421	-0.009723	-0.241584	img_0_0_1553501387223772400.png;img_1_1_1553501387232651700.png
1553501387040	140.427216	-36.336330	-28.897478	0.970350	-0.001885	-0.007571	-0.241579	img_0_0_1553501387589201500.png;img_1_1_1553501387596590100.png
1553501387415	141.664307	-36.431267	-28.939552	0.971190	0.004914	-0.002961	-0.238239	img_0_0_1553501387965619600.png;img_1_1_1553501387972633500.png
1553501387775	142.856277	-36.511440	-28.983269	0.976149	0.004920	-0.001421	-0.217042	img_0_0_1553501388322035400.png;img_1_1_1553501388331303200.png
1553501388132	144.038101	-36.575668	-29.029846	0.980450	0.000511	-0.000156	-0.196769	img_0_0_1553501388681737100.png;img_1_1_1553501388688652200.png
1553501388504	145.262360	-36.638523	-29.081932	0.983348	-0.000310	-0.001906	-0.181724	img_0_0_1553501389054434200.png;img_1_1_1553501389062024400.png
1553501388888	146.523849	-36.703438	-29.139372	0.984169	-0.001757	-0.009688	-0.176958	img_0_0_1553501389439053600.png;img_1_1_1553501389446945000.png
1553501389275	147.810684	-36.775677	-29.200584	0.984342	-0.002066	-0.011516	-0.175879	img_0_0_1553501389825566800.png;img_1_1_1553501389833408900.png
1553501389677	149.171341	-36.860703	-29.267361	0.984616	-0.001938	-0.010794	-0.174389	img_0_0_1553501390227387700.png;img_1_1_1553501390235730800.png
1553501390067	150.512863	-36.952156	-29.335232	0.988202	-0.001656	-0.009471	-0.152854	img_0_0_1553501390619527100.png;img_1_1_1553501390626890900.png
1553501390466	151.903061	-37.052666	-29.407875	0.991525	-0.001739	-0.012042	-0.129345	img_0_0_1553501391017766600.png;img_1_1_1553501391026584400.png
1553501390856	153.284607	-37.157978	-29.481705	0.992318	-0.001762	-0.013731	-0.122940	img_0_0_1553501391408600300.png;img_1_1_1553501391416072900.png
1553501391234	154.648727	-37.266956	-29.555679	0.992546	-0.001458	-0.011780	-0.121293	img_0_0_1553501391785263100.png;img_1_1_1553501391793528000.png
1553501391624	156.078232	-37.385300	-29.636780	0.993799	-0.001349	-0.011070	-0.110635	img_0_0_1553501392174524800.png;img_1_1_1553501392185710100.png
1553501392005	157.494904	-37.506058	-29.720772	0.995048	-0.001254	-0.011609	-0.098706	img_0_0_1553501392554890000.png;img_1_1_1553501392564960500.png
1553501392383	158.919968	-37.630280	-29.806820	0.995395	-0.001146	-0.011650	-0.095137	img_0_0_1553501392936064500.png;img_1_1_1553501392945130800.png
1553501392773	160.409439	-37.762337	-29.898415	0.996117	0.002664	-0.011143	-0.087292	img_0_0_1553501393326878900.png;img_1_1_1553501393333393700.png
1553501393148	161.859985	-37.883381	-29.991899	0.996707	0.007818	-0.012343	-0.079767	img_0_0_1553501393700920000.png;img_1_1_1553501393708048100.png
1553501393535	163.378738	-37.987228	-30.092236	0.996884	0.010638	-0.010514	-0.077449	img_0_0_1553501394089466100.png;img_1_1_1553501394096965800.png
1553501393943	164.999344	-38.061821	-30.199768	0.996896	0.015434	-0.007415	-0.076840	img_0_0_1553501394498560500.png;img_1_1_1553501394505388900.png
1553501394411	166.873566	-38.085258	-30.330223	0.996825	0.019951	-0.007709	-0.076699	img_0_0_1553501394970861900.png;img_1_1_1553501394979285000.png
1553501394819	168.523514	-38.030380	-30.448750	0.996538	0.031307	-0.008419	-0.076554	img_0_0_1553501395382367600.png;img_1_1_1553501395390221300.png
1553501395224	170.180481	-37.877121	-30.566328	0.996542	0.031559	-0.007369	-0.076514	img_0_0_1553501395786004600.png;img_1_1_1553501395793580500.png
1553501395623	171.825699	-37.625336	-30.686176	0.996336	0.038403	-0.003791	-0.076329	img_0_0_1553501396185851300.png;img_1_1_1553501396194497900.png
1553501396013	173.439087	-37.269093	-30.807764	0.996729	0.037382	-0.003016	-0.071591	img_0_0_1553501396577841600.png;img_1_1_1553501396585027600.png
1553501396388	174.991669	-36.822281	-30.929043	0.997424	0.036896	-0.002759	-0.061456	img_0_0_1553501396954829400.png;img_1_1_1553501396961879000.png
1553501396766	176.556671	-36.272110	-31.052452	0.997877	0.030042	-0.005138	-0.057548	img_0_0_1553501397335112100.png;img_1_1_1553501397342224100.png
1553501397168	178.225037	-35.599163	-31.182688	0.998083	0.024120	-0.006150	-0.056665	img_0_0_1553501397734464400.png;img_1_1_1553501397742373500.png
1553501397537	179.762650	-34.918339	-31.303463	0.998078	0.024755	-0.006261	-0.056471	img_0_0_1553501398103886000.png;img_1_1_1553501398112836700.png
1553501397957	181.520401	-34.070362	-31.442112	0.998124	0.022679	-0.006816	-0.056451	img_0_0_1553501398523186700.png;img_1_1_1553501398531915400.png
1553501398365	183.237473	-33.179539	-31.548813	0.998153	0.020762	-0.008228	-0.056490	img_0_0_1553501398932917000.png;img_1_1_1553501398939912900.png
1553501398755	184.890091	-32.273624	-31.600088	0.998182	0.018445	-0.009789	-0.056539	img_0_0_1553501399323327300.png;img_1_1_1553501399330349000.png
